company,date,open,close,high,low
Amazon,2021-05-25,3266.669922,3259.050049,3279.820068,3213.76001
Amazon,2021-05-26,3274.590088,3265.159912,3295.72998,3258.51001
Amazon,2021-05-27,3256,3230.110107,3260.360107,3230.040039
Amazon,2021-05-28,3242,3223.070068,3247.98999,3219.699951
Amazon,2021-06-01,3243.5,3218.649902,3250.97998,3209.060059
Amazon,2021-06-02,3223.100098,3233.98999,3235,3208
Amazon,2021-06-03,3204.22998,3187.01001,3214.439941,3184.030029
Amazon,2021-06-04,3212,3206.219971,3221,3198.810059
Amazon,2021-06-07,3197.330078,3198.01001,3208,3172.199951
Amazon,2021-06-08,3222.610107,3264.110107,3279.530029,3218.01001
Amazon,2021-06-09,3272.870117,3281.149902,3297.580078,3270.699951
Amazon,2021-06-10,3282.01001,3349.649902,3351,3281.149902
Amazon,2021-06-11,3349.649902,3346.830078,3366.580078,3333.449951
Amazon,2021-06-14,3346.830078,3383.870117,3385,3335.5
Amazon,2021-06-15,3384,3383.129883,3396.98999,3363.110107
Amazon,2021-06-16,3392,3415.25,3426.350098,3360.530029
Amazon,2021-06-17,3403.179932,3489.23999,3497.199951,3401
Amazon,2021-06-18,3479.98999,3486.899902,3507,3473.709961
Amazon,2021-06-21,3476.419922,3453.959961,3482,3434
Amazon,2021-06-22,3458.060059,3505.439941,3523.780029,3456.090088
Amazon,2021-06-23,3505,3503.820068,3521,3483.199951
Amazon,2021-06-24,3507.639893,3449.080078,3524.860107,3430.850098
Amazon,2021-06-25,3464,3401.459961,3464.820068,3394.179932
Amazon,2021-06-28,3416,3443.889893,3448,3413.51001
Amazon,2021-06-29,3438.820068,3448.139893,3456.030029,3423.030029
Amazon,2021-06-30,3441.060059,3440.159912,3471.600098,3435
Amazon,2021-07-01,3434.610107,3432.969971,3457,3409.419922
Amazon,2021-07-02,3451.639893,3510.97998,3511.719971,3436.919922
Amazon,2021-07-06,3530.110107,3675.73999,3685.47998,3529
Amazon,2021-07-07,3717.379883,3696.580078,3734.199951,3678.909912
Amazon,2021-07-08,3643.560059,3731.409912,3759.98999,3621.120117
Amazon,2021-07-09,3722.52002,3719.340088,3748,3693.399902
Amazon,2021-07-12,3744,3718.550049,3757.290039,3696.790039
Amazon,2021-07-13,3702.100098,3677.360107,3773.080078,3671.320068
Amazon,2021-07-14,3708.850098,3681.679932,3717.659912,3660.830078
Amazon,2021-07-15,3694.199951,3631.199951,3695.399902,3620.919922
Amazon,2021-07-16,3633.310059,3573.629883,3646.060059,3570.459961
Amazon,2021-07-19,3532.580078,3549.590088,3550.209961,3499.159912
Amazon,2021-07-20,3567.320068,3573.189941,3592,3518
Amazon,2021-07-21,3576.379883,3585.199951,3586.449951,3543.639893
Amazon,2021-07-22,3587.22998,3638.030029,3640.02002,3582.27002
Amazon,2021-07-23,3640,3656.639893,3666.110107,3622.040039
Amazon,2021-07-26,3673.169922,3699.820068,3712.080078,3647.25
Amazon,2021-07-27,3698.5,3626.389893,3698.5,3586.149902
Amazon,2021-07-28,3633.780029,3630.320068,3658.419922,3601
Amazon,2021-07-29,3627.75,3599.919922,3637.949951,3580.01001
Amazon,2021-07-30,3347.949951,3327.590088,3368.139893,3306.97998
Amazon,2021-08-02,3353.100098,3331.47998,3358.919922,3317
Amazon,2021-08-03,3340.719971,3366.23999,3391,3299.77002
Amazon,2021-08-04,3379.350098,3354.719971,3388.879883,3345.560059
Amazon,2021-08-05,3356.219971,3375.98999,3389,3340.919922
Amazon,2021-08-06,3375,3344.939941,3375,3329.040039
Amazon,2021-08-09,3343.610107,3341.870117,3354.879883,3328.52002
Amazon,2021-08-10,3345.01001,3320.679932,3358,3315
Amazon,2021-08-11,3331.449951,3292.110107,3337.699951,3277.790039
Amazon,2021-08-12,3290,3303.5,3314.51001,3269.669922
Amazon,2021-08-13,3305.669922,3293.969971,3306.070068,3283
Amazon,2021-08-16,3283,3298.98999,3300,3211.129883
Amazon,2021-08-17,3277.5,3241.959961,3280.48999,3225.679932
Amazon,2021-08-18,3241.98999,3201.219971,3254.100098,3200
Amazon,2021-08-19,3194.02002,3187.75,3233,3182.459961
Amazon,2021-08-20,3203.870117,3199.949951,3207.810059,3175.76001
Amazon,2021-08-23,3211.899902,3265.870117,3280.899902,3210.01001
Amazon,2021-08-24,3280,3305.780029,3315.48999,3274.580078
Amazon,2021-08-25,3309.870117,3299.179932,3321,3286.149902
Amazon,2021-08-26,3299,3316,3332,3296
Amazon,2021-08-27,3333.22998,3349.629883,3352.320068,3313.75
Amazon,2021-08-30,3357.429932,3421.570068,3445,3355.219971
Amazon,2021-08-31,3424.800049,3470.790039,3472.580078,3395.590088
Amazon,2021-09-01,3496.399902,3479,3527,3475.23999
